------------------------------------------------------------------------------------
Date: 12/12/2022 -- 00:19:37 (uptime: 0d, 00h 00m 49s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 24576
decoder.bytes                                 | Total                     | 14868499
decoder.ipv4                                  | Total                     | 24558
decoder.ipv6                                  | Total                     | 10
decoder.ethernet                              | Total                     | 24576
decoder.tcp                                   | Total                     | 12776
decoder.udp                                   | Total                     | 11790
decoder.icmpv6                                | Total                     | 2
decoder.avg_pkt_size                          | Total                     | 605
decoder.max_pkt_size                          | Total                     | 1514
flow.tcp                                      | Total                     | 76
flow.udp                                      | Total                     | 156
flow.icmpv6                                   | Total                     | 1
tcp.sessions                                  | Total                     | 75
tcp.syn                                       | Total                     | 75
tcp.synack                                    | Total                     | 75
tcp.rst                                       | Total                     | 34
tcp.overlap                                   | Total                     | 1
detect.alert                                  | Total                     | 20
app_layer.flow.http                           | Total                     | 6
app_layer.tx.http                             | Total                     | 12
app_layer.flow.tls                            | Total                     | 39
app_layer.flow.dhcp                           | Total                     | 1
app_layer.tx.dhcp                             | Total                     | 2
app_layer.flow.dns_udp                        | Total                     | 113
app_layer.tx.dns_udp                          | Total                     | 393
app_layer.flow.failed_udp                     | Total                     | 42
flow_mgr.closed_pruned                        | Total                     | 4
flow_mgr.new_pruned                           | Total                     | 47
flow.spare                                    | Total                     | 10000
flow_mgr.flows_checked                        | Total                     | 18
flow_mgr.flows_notimeout                      | Total                     | 3
flow_mgr.flows_timeout                        | Total                     | 15
flow_mgr.flows_timeout_inuse                  | Total                     | 15
flow_mgr.rows_checked                         | Total                     | 65536
flow_mgr.rows_skipped                         | Total                     | 65518
flow_mgr.rows_maxlen                          | Total                     | 1
tcp.memuse                                    | Total                     | 1720320
tcp.reassembly_memuse                         | Total                     | 1734656
http.memuse                                   | Total                     | 148103
flow.memuse                                   | Total                     | 7548432
------------------------------------------------------------------------------------
Date: 12/12/2022 -- 00:19:45 (uptime: 0d, 00h 00m 57s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 41472
decoder.bytes                                 | Total                     | 23556601
decoder.ipv4                                  | Total                     | 41449
decoder.ipv6                                  | Total                     | 11
decoder.ethernet                              | Total                     | 41472
decoder.tcp                                   | Total                     | 22181
decoder.udp                                   | Total                     | 19277
decoder.icmpv6                                | Total                     | 2
decoder.avg_pkt_size                          | Total                     | 568
decoder.max_pkt_size                          | Total                     | 1514
flow.tcp                                      | Total                     | 189
flow.udp                                      | Total                     | 256
flow.icmpv6                                   | Total                     | 2
tcp.sessions                                  | Total                     | 187
tcp.syn                                       | Total                     | 187
tcp.synack                                    | Total                     | 185
tcp.rst                                       | Total                     | 66
tcp.overlap                                   | Total                     | 1
detect.alert                                  | Total                     | 23
app_layer.flow.http                           | Total                     | 16
app_layer.tx.http                             | Total                     | 29
app_layer.flow.tls                            | Total                     | 124
app_layer.flow.dhcp                           | Total                     | 2
app_layer.tx.dhcp                             | Total                     | 4
app_layer.flow.dns_udp                        | Total                     | 183
app_layer.tx.dns_udp                          | Total                     | 657
app_layer.flow.failed_udp                     | Total                     | 71
flow_mgr.closed_pruned                        | Total                     | 5
flow_mgr.new_pruned                           | Total                     | 51
flow.spare                                    | Total                     | 10000
flow_mgr.flows_checked                        | Total                     | 21
flow_mgr.flows_notimeout                      | Total                     | 1
flow_mgr.flows_timeout                        | Total                     | 20
flow_mgr.flows_timeout_inuse                  | Total                     | 20
flow_mgr.rows_checked                         | Total                     | 65536
flow_mgr.rows_skipped                         | Total                     | 65515
flow_mgr.rows_maxlen                          | Total                     | 1
tcp.memuse                                    | Total                     | 1720320
tcp.reassembly_memuse                         | Total                     | 3088384
http.memuse                                   | Total                     | 267601
flow.memuse                                   | Total                     | 7604192
------------------------------------------------------------------------------------
Date: 12/12/2022 -- 00:19:53 (uptime: 0d, 00h 01m 05s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 49920
decoder.bytes                                 | Total                     | 30156152
decoder.ipv4                                  | Total                     | 49897
decoder.ipv6                                  | Total                     | 11
decoder.ethernet                              | Total                     | 49920
decoder.tcp                                   | Total                     | 29545
decoder.udp                                   | Total                     | 20361
decoder.icmpv6                                | Total                     | 2
decoder.avg_pkt_size                          | Total                     | 604
decoder.max_pkt_size                          | Total                     | 1514
flow.tcp                                      | Total                     | 234
flow.udp                                      | Total                     | 304
flow.icmpv6                                   | Total                     | 2
